title,company,post_date,link,active
R&D Data Analysis Intern,UTC Aerospace Systems,06/02/2015,http://www.indeed.com/viewjob?jk=0f83c2627d2a7c61,True
Data Scientist,Intuit,06/02/2015,http://careers.intuit.com/job-category/7/data/job/00118285/data-scientist,True
Data Scientist,Pluralsight,06/02/2015,http://www.indeed.com/viewjob?jk=1551a18296615acc,True
Data Scientist,BASF,06/02/2015,http://www.indeed.com/viewjob?jk=4e8c5d3ee2290cd9,True
"Director, Data Analytics",Mitchell International,06/02/2015,http://www.indeed.com/viewjob?jk=d00acfd9547612f8,True
Summer Internship – Data Analysis,Achates Power,06/02/2015,http://www.indeed.com/viewjob?jk=38b0dfd0f7624af8,True
Machine Learning Engineer,absolute opportunities,06/02/2015,http://www.indeed.com/viewjob?jk=31344f6ca0e1928d,True
Senior Data Scientist,FocusKPI,06/02/2015,http://www.indeed.com/viewjob?jk=6fc0c269d7087f9e,True
Lead Analytic Scientist,FICO,05/26/2015,http://www.indeed.com/viewjob?jk=138618f386345665,True
Data Scientist,MD Revolution,05/18/2015,http://www.indeed.com/viewjob?jk=dd237575e53c2854,True
Computer Vision / Algorithm Scientist,CureMetrix,05/18/2015,https://www.linkedin.com/jobs2/view/63058855,True
Sr Scientist (Data Analysis and Visualization) - New College Graduate,Cymer,05/12/2015,http://www.indeed.com/viewjob?jk=33e8902b9eb4037a,True
SOFTWARE ENGINEER: MACHINE LEARNING,The Intellisis Corporation,05/12/2015,http://www.indeed.com/viewjob?jk=46dbf4aed3abe0f1,True
Data Scientist Intern,ID Analytics,05/12/2015,http://www.indeed.com/viewjob?jk=807a107043b0049b,False
Statistician/SAS Programmer,Modern Analytics,05/12/2015,http://www.indeed.com/viewjob?jk=65f7f47802f628c3,True
Research Data Analyst,Lytx,05/12/2015,https://lytx-openhire.silkroad.com/epostings/index.cfm?fuseaction=app.dspjob&jobid=294,True
MACHINE LEARNING ENGINEER,High-Tech Professionals,05/12/2015,http://www.indeed.com/viewjob?jk=c661a194fa64dd04,True
"Data Scientist, Senior Job",Booz Allen Hamilton,05/05/2015,http://www.indeed.com/viewjob?jk=72259bc2d9ca084c,True
"Data Scientist, Junior Job",Booz Allen,05/05/2015,http://www.indeed.com/viewjob?jk=a40d944191cbbfc4,False
Data Scientist,Pluralsight,05/05/2015,http://www.indeed.com/viewjob?jk=f0ad3776d2b8b8a6,True
"Data Scientist, Mid Job",Booz Allen Hamilton,05/05/2015,http://www.indeed.com/viewjob?jk=771cd32777774586,False
Junior Data Scientist,Themesoft,05/05/2015,http://www.indeed.com/viewjob?jk=5440bc1e00fa10d7,True
Data Scientist,Diverse Lynx,05/05/2015,http://www.indeed.com/viewjob?jk=6822b39942e80dca,True
"Director, Data Science",ID Analytics,04/27/2015,http://www.indeed.com/viewjob?jk=7cf92a7f1ce65fee,True
Data Scientist,Teradata,04/27/2015,http://www.indeed.com/viewjob?jk=7730736db58c176d,True
Data Scientist,Experian DataLab,04/27/2015,http://www.indeed.com/viewjob?jk=deabb9f75ddf3cef,True
Data Scientist in Cyber Security,FocusKPI,04/27/2015,http://www.indeed.com/viewjob?jk=fdd0e4ce82ce3a96,False
Junior Data Scientist,Systel,04/27/2015,http://www.indeed.com/viewjob?jk=e86f8c7cd260e861,True
Data Scientist,Net2Source,04/27/2015,http://www.indeed.com/viewjob?jk=8cd653bdb74d758a,False
Data Scientist,Cognizant,04/27/2015,http://www.indeed.com/viewjob?jk=e896a82ed64c8593,True
Data Scientist,Bridgepoint Education,04/27/2015,http://www.indeed.com/viewjob?jk=4fa438997061a0a8,True
Director of Statistics,Theorem Clinical Research,04/27/2015,http://www.indeed.com/viewjob?jk=14bc9a88ffe52388,True
